spell,first,rank
10,10,1
17,17,1
53,53,1
67,67,1
78,78,1
99,99,1
100,100,1
113,113,1
116,116,1
118,118,1
120,120,1
122,122,1
133,133,1
136,136,1
139,139,1
143,133,2
145,133,3
168,168,1
172,172,1
205,116,2
246,246,1
284,78,2
285,78,3
324,324,1
325,324,2
331,331,1
332,331,2
339,339,1
348,348,1
370,370,1
403,403,1
408,408,1
421,421,1
465,465,1
467,467,1
469,469,1
491,491,1
512,113,2
527,527,1
529,403,2
543,543,1
547,331,3
548,403,3
585,585,1
587,587,1
588,588,1
589,589,1
591,585,2
592,17,2
594,589,2
596,596,1
597,587,2
598,585,3
600,17,3
602,588,3
603,603,1
604,604,1
633,633,1
635,635,1
639,635,2
643,465,3
647,635,3
686,686,1
687,687,1
689,689,1
693,693,1
695,686,2
696,687,2
699,689,2
700,700,1
702,702,1
703,703,1
705,686,3
706,706,1
707,348,2
709,689,3
710,710,1
724,724,1
740,740,1
746,746,1
755,755,1
759,759,1
769,779,3
772,772,1
774,774,1
779,779,1
780,779,2
782,467,2
837,116,3
845,845,1
853,853,1
857,491,2
865,122,2
879,879,1
905,324,3
913,331,4
915,403,4
930,421,2
939,331,5
943,403,5
945,324,4
959,331,6
970,589,3
974,974,1
976,976,1
980,980,1
984,585,4
988,527,2
990,587,3
992,589,4
996,596,2
1004,585,5
1006,588,4
1008,1008,1
1014,980,2
1022,1022,1
1026,635,4
1032,465,5
1035,1035,1
1042,635,5
1058,774,2
1062,339,2
1064,1064,1
1075,467,3
1079,1079,1
1082,1082,1
1086,706,2
1088,686,4
1090,700,2
1094,348,3
1098,1098,1
1106,686,5
1108,702,2
1120,1120,1
1126,1126,1
1130,1130,1
1159,746,2
1160,1160,1
1194,1194,1
1196,1196,1
1214,1214,1
1225,1194,2
1228,1214,2
1241,1241,1
1243,1243,1
1244,1243,2
1245,1243,3
1266,1266,1
1267,1267,1
1329,1329,1
1386,6964,5
1430,774,3
1449,1449,1
1454,1454,1
1455,1454,2
1456,1454,3
1459,1459,1
1460,1459,2
1461,1459,3
1463,1463,1
1464,1464,1
1467,1467,1
1472,1472,1
1473,1472,2
1474,1472,3
1475,1472,4
1481,1481,1
1490,1490,1
1495,1495,1
1499,1499,1
1510,1510,1
1513,1513,1
1535,1535,1
1608,78,4
1714,1714,1
1735,99,2
1747,1747,1
1748,1747,2
1749,1747,3
1750,1747,4
1751,1747,5
1752,1752,1
1757,1752,2
1758,1752,3
1759,1752,4
1760,1752,5
1809,1809,1
1810,1809,2
1811,1811,1
1822,1822,1
1823,1822,2
1824,1822,3
1850,1850,1
1853,1853,1
1856,1856,1
1857,1856,2
1943,1943,1
1949,1949,1
1966,1966,1
1978,1978,1
2006,2006,1
2008,2008,1
2010,2006,2
2018,2018,1
2048,6673,8
