SpellId,SpellXSpellVisualId
58615,17172
262591,206463
262604,206470
262641,206494
543,236583
134,236584
10015,236585
461,236588
459,236594
633,236598
428,236599
172,236600
184,236602
403,236603
597,236604
598,236605
463,236609
483,236611
14,236613
139,236614
142,236615
446,236616
447,236617
556,236618
136,236624
512,236625
498,236631
67,236632
124,236633
126,236634
130,236636
132,236637
71,236644
228,236645
246,236646
581,236648
585,236649
586,236650
587,236651
113,236652
688,236653
99,236654
7,236655
10,236656
11,236657
261,236658
467,236659
468,236660
469,236661
116,236663
13,236664
34,236665
35,236666
43,236667
45,236668
47,236669
49,236670
555,236676
133,236677
143,236678
145,236679
433,236680
546,236682
547,236683
548,236684
25,236687
27,236688
101,236689
491,236690
578,236692
579,236693
580,236694
611,236696
635,236699
642,236704
89,236708
465,236710
589,236715
96,236720
53,236721
2374,236723
603,236726
110,236728
112,236729
689,236736
591,236738
443,236740
444,236741
445,236742
339,236743
724,236748
596,236749
550,236750
552,236751
594,236752
31817,236754
458,236755
18,236757
437,236759
408,236760
421,236764
639,236765
526,236768
457,236769
78,236771
87,236772
100,236773
33,236774
453,236775
122,236777
285,236782
438,236784
439,236785
440,236786
441,236787
442,236788
31,236789
602,236791
606,236792
921,236796
913,236801
1139,236804
982,236806
984,236808
470,236810
471,236811
472,236812
527,236813
528,236814
693,236817
853,236820
696,236823
56,236827
59,236828
60,236829
61,236830
65,236831
66,236832
697,236840
698,236841
779,236843
823,236850
1026,236853
695,236857
563,236859
818,236860
780,236861
781,236862
930,236863
686,236865
707,236866
709,236867
647,236868
804,236869
833,236877
783,236878
687,236879
700,236881
701,236882
772,236888
915,236889
932,236892
785,236896
1094,236899
830,236903
806,236904
1042,236907
745,236913
746,236914
703,236918
799,236922
430,236924
431,236925
432,236926
435,236927
529,236928
782,236935
943,236936
802,236939
1002,236940
1004,236942
604,236944
605,236945
837,236956
952,236962
1138,236964
72,236966
427,236970
1714,236974
845,236980
857,236981
691,236990
692,236991
588,236997
1008,236998
1010,236999
673,237001
883,237004
348,237005
355,237006
370,237008
379,237009
676,237010
731,237011
879,237012
26025,237013
568,237015
712,237016
834,237017
759,237020
871,237023
284,237026
1035,237033
755,237037
865,237046
27891,237049
1430,237052
1809,237054
1810,237055
1811,237056
939,237067
829,237069
475,237070
1044,237084
713,237085
905,237087
324,237091
331,237092
332,237093
1490,237095
720,237100
835,237103
205,237109
265,237110
269,237111
271,237112
1108,237113
1735,237127
1075,237128
3034,237132
1122,237139
1760,237143
2551,237155
2060,237159
2061,237160
1446,237163
1671,237175
1672,237176
1454,237177
1825,237178
27546,237179
27547,237180
27548,237181
2544,237186
1978,237190
1842,237191
1843,237192
1456,237199
1766,237200
27555,237201
1776,237202
2110,237205
29231,237212
1767,237215
1768,237216
1769,237217
1244,237220
2062,237225
2000,237228
1940,237233
1161,237238
1462,237239
774,237241
27565,237247
1082,237248
2020,237254
2021,237255
3045,237256
897,237263
898,237264
959,237266
2795,237270
2791,237276
8442,237277
1088,237279
2599,237281
1251,237282
1050,237289
1459,237295
1460,237296
2598,237301
1090,237302
768,237313
2541,237322
2542,237323
2543,237324
3052,237327
3053,237328
769,237329
770,237330
2832,237336
2098,237344
2600,237345
2601,237346
1881,237347
886,237349
1014,237351
2833,237352
1329,237355
1062,237356
1064,237358
2597,237360
2275,237361
2399,237369
2539,237373
2118,237383
2589,237391
2590,237392
2023,237398
2024,237399
2565,237400
2119,237403
1650,237404
3029,237407
1449,237417
1495,237422
1680,237423
25755,237424
1757,237428
1758,237429
1936,237430
2591,237432
1455,237433
1725,237434
1159,237448
1160,237449
1364,237452
988,237453
990,237455
1786,237470
1373,237474
1196,237478
1302,237480
7386,237485
1214,237489
1787,237490
699,237494
740,237495
742,237497
744,237498
1481,237502
1784,237504
1791,237509
1194,237513
7389,237518
1066,237522
2819,237540
974,237543
1234,237545
1241,237548
1785,237557
1350,237559
1588,237561
1706,237562
976,237563
1243,237571
1710,237583
1499,237590
1536,237602
1538,237603
1539,237604
2094,237612
1130,237613
1131,237614
1132,237615
1133,237616
1245,237629
1086,237632
1800,237633
1795,237643
1796,237644
1797,237645
1249,237647
1250,237648
7393,237654
1669,237658
1463,237664
1798,237666
1106,237667
1461,237670
1127,237671
1225,237674
1058,237679
1464,237685
2540,237689
1413,237691
1777,237692
2602,237710
2006,237723
1494,237724
1135,237728
1664,237732
1665,237733
1666,237734
1608,237742
1467,237746
1228,237751
1121,237755
1579,237759
1609,237765
1513,237770
1022,237774
1038,237776
1098,237777
1804,237781
1475,237786
996,237791
2575,237795
2576,237796
970,237799
739,237800
1129,237807
1604,237816
1770,237817
1715,237823
1210,237826
1266,237828
1543,237829
1120,237830
1152,237831
2908,237832
2912,237834
3593,237836
3594,237837
3595,237838
3011,237845
2333,237846
2334,237847
2335,237848
2336,237849
2337,237850
8880,237852
3823,237855
2663,237857
2664,237858
2871,237864
3145,237866
3146,237867
3007,237871
3009,237872
2665,237874
3019,237876
2162,237879
2163,237880
3583,237881
1848,237882
1850,237884
2941,237886
2944,237887
8423,237892
2158,237894
2159,237895
2666,237897
3010,237898
2895,237900
9591,237907
3514,237909
2120,237910
3297,237912
3515,237915
2894,237916
3816,237917
3817,237918
3818,237919
3267,237921
2138,237923
3295,237928
3296,237929
3147,237931
2981,237932
2982,237933
2983,237934
2995,237936
3495,237938
2164,237941
3973,237943
3815,237945
3490,237948
2855,237956
3358,237957
3496,237958
3955,237959
3956,237960
3957,237961
3958,237962
2976,237964
3502,237965
31605,237968
1472,237971
1473,237972
3108,237973
3109,237974
3359,237978
3361,237979
3494,237980
3503,237981
3959,237982
3960,237983
3961,237984
2165,237985
3106,237986
1474,237987
2139,238000
2140,238001
3362,238002
3107,238005
3504,238006
3505,238007
3747,238008
2630,238019
3333,238021
2446,238022
1759,238023
2977,238029
2973,238032
1126,238034
1509,238035
1510,238036
3043,238037
2633,238041
2636,238042
3585,238046
3023,238047
3938,238048
2385,238051
2653,238054
3044,238055
2817,238056
2818,238057
3143,238059
3491,238060
3492,238061
3493,238062
2403,238063
2406,238064
3129,238065
3130,238066
3131,238067
2143,238068
2974,238069
2975,238070
3592,238072
2381,238073
2389,238079
2392,238080
3355,238083
3356,238084
3339,238088
3932,238095
3335,238103
3336,238104
3337,238105
3591,238118
3237,238122
3238,238123
3454,238124
2367,238125
2393,238127
2331,238129
3974,238130
3286,238131
2639,238133
1752,238134
28769,238138
2332,238139
2643,238141
2402,238143
3738,238147
2366,238153
3578,238156
2607,238160
2330,238166
2160,238167
2161,238168
2850,238169
2626,238170
3017,238176
3933,238181
3934,238182
3936,238183
3294,238184
2121,238185
3365,238188
3366,238189
12044,238190
2766,238191
2767,238192
2673,238194
2674,238195
2675,238196
2676,238197
2156,238200
2157,238201
1824,238204
2972,238207
2169,238217
2823,238223
2662,238226
1950,238230
2583,238231
2782,238232
2825,238240
1749,238243
1834,238244
2963,238246
2964,238247
2949,238257
2950,238258
2048,238261
2008,238263
2645,238264
1949,238276
2457,238278
2691,238284
2400,238285
2401,238286
2545,238292
2546,238293
2547,238294
2548,238295
2362,238298
2054,238304
2055,238305
2552,238308
2549,238310
2386,238319
2387,238320
1943,238323
2647,238326
2657,238328
2658,238329
2659,238330
2828,238334
2829,238335
2830,238336
2442,238338
2443,238339
2444,238340
3774,238341
3776,238342
2649,238343
2650,238344
2660,238350
2831,238354
2010,238355
3777,238359
3778,238360
3779,238361
2629,238362
1515,238368
2800,238370
2668,238372
2670,238373
2880,238374
1856,238382
2824,238383
1823,238384
2484,238386
3369,238391
2090,238392
2881,238393
2137,238394
2893,238396
3055,238397
2581,238404
2582,238405
2637,238406
2149,238407
2152,238408
1748,238411
2394,238412
2395,238413
2396,238414
2397,238415
1906,238419
2096,238422
2153,238425
2154,238426
2608,238427
2610,238428
2671,238430
2947,238431
2948,238432
2672,238434
2050,238437
2052,238439
3105,238440
2141,238444
2142,238445
2070,238447
2075,238448
2091,238453
2166,238457
2053,238458
2860,238462
2124,238463
2969,238465
3368,238466
2641,238468
2136,238474
2167,238476
2168,238477
1853,238478
1747,238480
2125,238482
